Day PI,RBC,Mouse,Treatment
11,NA,1,D
12,NA,1,D
13,NA,1,D
14,NA,1,D
15,NA,1,D
16,NA,1,D
17,NA,1,D
18,NA,1,D
-5,7.406,2,D
0,5.16,2,D
3,3.501,2,D
4,3.61,2,D
5,4.866,2,D
6,3.897,2,D
7,2.17,2,D
8,0.951,2,D
9,0.763,2,D
10,0.6744,2,D
11,1.542,2,D
12,1.986,2,D
13,2.831,2,D
14,3.869,2,D
15,1.555,2,D
16,1.417,2,D
17,1.839,2,D
18,2.427,2,D
-5,7.483,3,D
0,4.261,3,D
3,4.194,3,D
4,4.721,3,D
5,5.257,3,D
6,2.898,3,D
7,3.846,3,D
8,4.944,3,D
9,5.28,3,D
10,5.05,3,D
11,4.673,3,D
12,3.558,3,D
13,0.9987,3,D
14,NA,3,D
15,NA,3,D
16,NA,3,D
17,NA,3,D
18,NA,3,D
-5,7.893,4,D
0,4.358,4,D
3,4.478,4,D
4,4.607,4,D
5,4.525,4,D
6,5.713,4,D
7,4.17,4,D
8,1.332,4,D
9,0.517,4,D
10,NA,4,D
11,NA,4,D
12,NA,4,D
13,NA,4,D
14,NA,4,D
15,NA,4,D
16,NA,4,D
17,NA,4,D
18,NA,4,D
-5,6.546,5,D
0,2.791,5,D
3,3.122,5,D
4,5.367,5,D
5,4.476,5,D
6,4.917,5,D
7,3.038,5,D
8,1.705,5,D
9,0.8614,5,D
10,NA,5,D
11,NA,5,D
12,NA,5,D
13,NA,5,D
14,NA,5,D
15,NA,5,D
16,NA,5,D
17,NA,5,D
18,NA,5,D
-5,7.965,5,E
0,6.426,5,E
3,4.545,5,E
4,5.749,5,E
5,6.387,5,E
6,4.369,5,E
7,2.435,5,E
8,1.172,5,E
9,1.502,5,E
10,1.961,5,E
11,2.742,5,E
12,3.475,5,E
13,4.129,5,E
14,4.136,5,E
15,4.75,5,E
16,5.94,5,E
17,5.305,5,E
18,4.611,5,E
-5,7.413,1,E
0,5.659,1,E
3,6.669,1,E
4,7,1,E
5,6.978,1,E
6,5.063,1,E
7,3.882,1,E
8,2.691,1,E
9,1.848,1,E
10,2.361,1,E
11,3.303,1,E
12,4.381,1,E
13,5.286,1,E
14,5.336,1,E
15,4.231,1,E
16,4.84,1,E
17,4.308,1,E
18,4.724,1,E
-5,6.747,2,E
0,5.271,2,E
3,6.227,2,E
4,8.822,2,E
5,6.715,2,E
6,7.409,2,E
7,4.251,2,E
8,2.301,2,E
9,2.143,2,E
10,3.071,2,E
11,3.158,2,E
12,5.125,2,E
13,5.8,2,E
14,4.565,2,E
15,6.192,2,E
16,6.807,2,E
17,5.528,2,E
18,6.268,2,E
-5,8.494,3,E
0,7.61,3,E
3,7.876,3,E
4,8.612,3,E
5,8.38,3,E
6,5.174,3,E
7,3.481,3,E
8,3.075,3,E
9,2.33,3,E
10,3.308,3,E
11,10.17,3,E
12,5.173,3,E
13,5.272,3,E
14,5.419,3,E
15,5.869,3,E
16,7.454,3,E
17,6.388,3,E
18,6.908,3,E
-5,7.334,4,E
0,4.892,4,E
3,5.936,4,E
4,7.092,4,E
5,6.546,4,E
6,5.969,4,E
7,3.224,4,E
8,1.981,4,E
9,1.89,4,E
10,2.097,4,E
11,3.295,4,E
12,3.15,4,E
13,3.588,4,E
14,4.001,4,E
15,4.047,4,E
16,5.029,4,E
17,4.561,4,E
18,4.951,4,E
-5,8.095,4,F
0,5.245,4,F
3,4.162,4,F
4,6.277,4,F
5,6.08,4,F
6,4.88,4,F
7,1.724,4,F
8,0.897,4,F
9,NA,4,F
10,NA,4,F
11,NA,4,F
12,NA,4,F
13,NA,4,F
14,NA,4,F
15,NA,4,F
16,NA,4,F
17,NA,4,F
18,NA,4,F
-5,7.171,5,F
0,5.52,5,F
3,3.392,5,F
4,6.012,5,F
5,5.087,5,F
6,4.332,5,F
7,3.097,5,F
8,3.832,5,F
9,1.198,5,F
10,2.459,5,F
11,1.843,5,F
12,3.178,5,F
13,5.35,5,F
14,6.716,5,F
15,5.834,5,F
16,4.415,5,F
17,5.452,5,F
18,6.395,5,F
-5,6.965,1,F
0,4.06,1,F
3,2.892,1,F
4,5.437,1,F
5,4.581,1,F
6,3.878,1,F
7,1.135,1,F
8,0.937,1,F
9,NA,1,F
10,NA,1,F
11,NA,1,F
12,NA,1,F
13,NA,1,F
14,NA,1,F
15,NA,1,F
16,NA,1,F
17,NA,1,F
18,NA,1,F
-5,7.929,2,F
0,4.721,2,F
3,3.902,2,F
4,5.624,2,F
5,3.441,2,F
6,2.818,2,F
7,1.096,2,F
8,0.525,2,F
9,NA,2,F
10,NA,2,F
11,NA,2,F
12,NA,2,F
13,NA,2,F
14,NA,2,F
15,NA,2,F
16,NA,2,F
17,NA,2,F
18,NA,2,F
-5,7.228,3,F
0,4.939,3,F
3,3.911,3,F
4,4.509,3,F
5,4.827,3,F
6,3.85,3,F
7,1.922,3,F
8,0.625,3,F
9,0.6513,3,F
10,1.14,3,F
11,0.8666,3,F
12,NA,3,F
13,NA,3,F
14,NA,3,F
15,NA,3,F
16,NA,3,F
17,NA,3,F
18,NA,3,F
-5,6.236,3,G
0,6.906,3,G
3,7.227,3,G
4,7.746,3,G
5,7.895,3,G
6,6.042,3,G
7,4.449,3,G
8,7.963,3,G
9,4.352,3,G
10,4.763,3,G
11,5.403,3,G
12,4.588,3,G
13,3.564,3,G
14,1.261,3,G
15,0.8434,3,G
16,0.996,3,G
17,0.9608,3,G
18,1.984,3,G
-5,6.542,4,G
0,8.3,4,G
3,5.44,4,G
4,7.07,4,G
5,5.332,4,G
6,4.455,4,G
7,2.727,4,G
8,2.087,4,G
9,1.059,4,G
10,2.191,4,G
11,2.156,4,G
12,3.577,4,G
13,3.23,4,G
14,1.978,4,G
15,1.245,4,G
16,1.8,4,G
17,2.151,4,G
18,3.233,4,G
-5,6.119,5,G
0,6.864,5,G
3,4.109,5,G
4,6.266,5,G
5,3.938,5,G
6,2.729,5,G
7,1.78,5,G
8,1.256,5,G
9,0.94,5,G
10,1.518,5,G
11,2.082,5,G
12,2.156,5,G
13,1.735,5,G
14,1.74,5,G
15,1.147,5,G
16,2.456,5,G
17,1.785,5,G
18,1.718,5,G
-5,5.413,1,G
0,5.763,1,G
3,4.972,1,G
4,5.909,1,G
5,6.115,1,G
6,5.4,1,G
7,2.407,1,G
8,1.477,1,G
9,0.9898,1,G
10,1.156,1,G
11,1.713,1,G
12,2.47,1,G
13,2.673,1,G
14,1.978,1,G
15,1.314,1,G
16,1.125,1,G
17,2.205,1,G
18,2.311,1,G
-5,6.119,2,G
0,5.828,2,G
3,6.413,2,G
4,5.694,2,G
5,8.295,2,G
6,4.78,2,G
7,3.041,2,G
8,0.829,2,G
9,0.8377,2,G
10,1.088,2,G
11,1.787,2,G
12,2.984,2,G
13,3.7,2,G
14,3.016,2,G
15,1.262,2,G
16,1.322,2,G
17,1.98,2,G
18,4.384,2,G
-5,7.013,2,H
0,4.82,2,H
3,5.65,2,H
4,5.335,2,H
5,4.388,2,H
6,3.384,2,H
7,1.223,2,H
8,0.753,2,H
9,1.155,2,H
10,2.02,2,H
11,3.254,2,H
12,3.399,2,H
13,3.297,2,H
14,1.631,2,H
15,0.8943,2,H
16,1.368,2,H
17,2.714,2,H
18,3.384,2,H
-5,7.378,3,H
0,6.837,3,H
3,4.343,3,H
4,4.553,3,H
5,4.599,3,H
6,4.111,3,H
